player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Javi Martínez,es ESP,MF,Bayern Munich,29,1988,14.5,26,15,7,17,2,5,16,31.3,11,17,5,12,31,57,13,0,Matches
Omar Mascarell,es ESP,MF,Schalke 04,25,1993,11.0,20,10,9,9,2,10,24,41.7,14,21,7,14,23,43,8,0,Matches
Jean-Philippe Mateta,fr FRA,FW,Mainz 05,21,1997,27.6,13,9,4,4,5,1,10,10.0,9,15,2,13,3,16,22,0,Matches
Christian Mathenia,de GER,GK,Nürnberg,26,1992,21.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,18,2,Matches
Rabbi Matondo,wls WAL,"FW,MF",Schalke 04,17,2000,2.1,4,1,4,0,0,1,5,20.0,4,2,0,2,0,4,1,0,Matches
Philipp Max,de GER,"DF,MF",Augsburg,24,1993,28.5,35,24,17,15,3,21,39,53.8,18,16,3,13,22,57,46,1,Matches
Alexandru Maxim,ro ROU,"MF,FW",Mainz 05,28,1990,6.4,16,10,6,9,1,10,19,52.6,9,12,0,12,5,21,7,0,Matches
Weston McKennie,us USA,"MF,FW",Schalke 04,19,1998,19.4,28,14,5,17,6,11,35,31.4,24,28,9,19,36,64,46,1,Matches
Admir Mehmedi,ch SUI,"FW,MF",Wolfsburg,27,1991,18.8,46,28,19,19,8,18,44,40.9,26,25,0,25,12,58,9,0,Matches
Hamza Mendyl,ma MAR,DF,Schalke 04,20,1997,6.0,17,15,6,8,3,8,18,44.4,10,11,2,9,8,25,8,0,Matches
Virgil Misidjan,nl NED,"MF,FW",Nürnberg,25,1993,17.1,21,13,10,5,6,4,25,16.0,21,17,0,17,9,30,5,0,Matches
Maximilian Mittelstädt,de GER,"DF,MF",Hertha BSC,21,1997,20.0,61,37,33,23,5,23,49,46.9,26,32,4,28,46,107,64,0,Matches
Kevin Möhwald,de GER,MF,Werder Bremen,25,1993,9.7,16,10,3,11,2,3,20,15.0,17,14,0,14,17,33,14,0,Matches
Niklas Moisander,fi FIN,DF,Werder Bremen,32,1985,29.3,34,23,26,8,0,22,51,43.1,29,42,19,23,39,73,140,2,Matches
Alfredo Morales,us USA,MF,Düsseldorf,28,1990,17.0,32,18,16,15,1,6,24,25.0,18,18,9,9,24,56,31,0,Matches
Jan Morávek,cz CZE,MF,Augsburg,28,1989,8.4,38,21,17,16,5,19,42,45.2,23,21,1,20,9,47,13,0,Matches
Lukas Mühl,de GER,DF,Nürnberg,21,1997,31.0,57,34,49,6,2,32,51,62.7,19,53,18,35,48,105,139,2,Matches
Nordi Mukiele,fr FRA,DF,RB Leipzig,20,1997,13.6,38,21,23,12,3,19,22,86.4,3,17,3,14,24,62,35,0,Matches
Florian Müller,de GER,GK,Mainz 05,20,1997,24.0,1,1,1,0,0,1,2,50.0,1,0,0,0,3,4,8,5,Matches
Nicolai Müller,de GER,"MF,FW",Hannover 96,30,1987,10.0,18,9,7,7,4,8,27,29.6,19,9,1,8,1,19,7,0,Matches
Nicolai Müller,de GER,"FW,MF",Eint Frankfurt,30,1987,2.4,4,2,3,1,0,1,2,50.0,1,4,1,3,0,4,0,0,Matches
Thomas Müller,de GER,"MF,FW",Bayern Munich,28,1989,26.4,42,23,13,15,14,10,38,26.3,28,46,6,40,9,51,12,0,Matches
Florent Muslija,xk KVX,"MF,FW",Hannover 96,20,1998,7.5,16,10,8,6,2,8,12,66.7,4,4,0,4,3,19,4,0,Matches
Yvon Mvogo,ch SUI,GK,RB Leipzig,24,1994,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Phillipp Mwene,at AUT,"DF,MF",Mainz 05,24,1994,3.0,7,2,3,4,0,5,6,83.3,1,6,0,6,6,13,10,0,Matches
Obite N'Dicka,ci CIV,DF,Eint Frankfurt,18,1999,25.6,43,28,31,10,2,31,52,59.6,21,29,11,18,29,72,123,0,Matches
Naldo,br BRA,DF,Schalke 04,35,1982,7.0,10,7,8,2,0,5,8,62.5,3,8,3,5,14,24,25,0,Matches
Matija Nastasić,rs SRB,DF,Schalke 04,25,1993,27.2,35,23,22,13,0,20,29,69.0,9,32,20,12,38,73,114,1,Matches
Reiss Nelson,eng ENG,"MF,FW",Hoffenheim,18,1999,7.1,17,10,8,4,5,2,13,15.4,11,12,1,11,5,22,2,0,Matches
Manuel Neuer,de GER,GK,Bayern Munich,32,1986,25.6,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,8,3,Matches
Florian Neuhaus,de GER,MF,M'Gladbach,21,1997,22.9,22,15,9,9,4,10,36,27.8,26,20,1,19,10,32,23,0,Matches
Moussa Niakhate,sn SEN,DF,Mainz 05,22,1996,31.0,49,30,35,12,2,20,33,60.6,13,42,24,18,44,93,143,1,Matches
Florian Niederlechner,de GER,"FW,MF",Freiburg,27,1990,10.8,7,5,1,4,2,0,5,0.0,5,12,4,8,6,13,10,0,Matches
Håvard Nordtveit,no NOR,"MF,DF",Hoffenheim,28,1990,5.2,8,5,2,4,2,3,7,42.9,4,8,5,3,4,12,14,0,Matches
Alexander Nübel,de GER,GK,Schalke 04,21,1996,17.6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,1,Matches
Kasim Nuhu,gh GHA,DF,Hoffenheim,23,1995,10.0,19,11,14,3,2,10,23,43.5,13,11,5,6,23,42,44,0,Matches
Hans Nunoo Sarpei,gh GHA,"FW,MF",Stuttgart,19,1998,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Bastian Oczipka,de GER,"DF,FW",Schalke 04,29,1989,20.8,41,27,20,19,2,21,26,80.8,5,23,5,18,24,65,24,2,Matches
Chima Okoroji,ng NGA,"DF,MF",Freiburg,21,1997,1.2,3,0,1,1,1,1,1,100.0,0,0,0,0,1,4,1,0,Matches
Karim Onisiwo,at AUT,"FW,MF",Mainz 05,26,1992,12.9,23,15,6,12,5,4,12,33.3,8,14,3,11,9,32,13,0,Matches
Willi Orban,hu HUN,DF,RB Leipzig,25,1992,22.8,49,26,31,15,3,24,38,63.2,14,33,15,18,36,85,140,0,Matches
Yuya Osako,jp JPN,"FW,MF",Werder Bremen,28,1990,15.0,23,11,6,12,5,7,22,31.8,15,15,3,12,7,30,8,0,Matches
Matthias Ostrzolek,de GER,DF,Hannover 96,28,1990,16.3,32,18,24,8,0,20,33,60.6,13,20,5,15,26,58,44,2,Matches
David Otto,de GER,"MF,FW",Hoffenheim,19,1999,0.3,2,1,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
Reece Oxford,eng ENG,DF,Augsburg,19,1998,5.6,12,9,9,3,0,4,6,66.7,2,10,9,1,11,23,39,0,Matches
Berkay Özcan,tr TUR,"MF,DF",Stuttgart,20,1998,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Ramazan Özcan,at AUT,GK,Leverkusen,34,1984,2.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
Levin Öztunalı,de GER,"MF,FW",Mainz 05,22,1996,10.2,17,7,5,9,3,4,18,22.2,14,14,2,12,7,24,10,0,Matches
Gonçalo Paciência,pt POR,FW,Eint Frankfurt,23,1994,4.3,3,2,0,2,1,1,2,50.0,1,8,1,7,0,3,1,0,Matches
Federico Palacios Martínez,de GER,"MF,FW",Nürnberg,23,1995,10.5,21,10,11,8,2,10,20,50.0,10,10,0,10,9,30,4,0,Matches
Paulinho,br BRA,"FW,MF",Leverkusen,18,2000,2.0,4,4,2,2,0,1,2,50.0,1,3,0,3,2,6,0,1,Matches
Benjamin Pavard,fr FRA,DF,Stuttgart,22,1996,29.0,28,20,21,6,1,12,19,63.2,7,27,19,8,48,76,189,2,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,26,1992,33.1,3,0,3,0,0,3,6,50.0,3,1,0,1,3,6,14,1,Matches
Peter Pekarík,sk SVK,DF,Hertha BSC,31,1986,2.4,2,1,1,1,0,1,3,33.3,2,2,1,1,1,3,5,0,Matches
Matheus Pereira,pt POR,"MF,FW",Nürnberg,22,1996,13.7,16,11,4,8,4,2,13,15.4,11,15,2,13,14,30,7,0,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,30,1987,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Nils Petersen,de GER,FW,Freiburg,29,1988,21.4,29,21,10,16,3,4,24,16.7,20,28,2,26,13,42,34,0,Matches
Ondřej Petrák,cz CZE,MF,Nürnberg,26,1992,18.0,36,24,17,18,1,14,25,56.0,11,18,4,14,40,76,22,0,Matches
Maximilian Philipp,de GER,"FW,MF",Dortmund,24,1994,8.4,7,5,3,4,0,2,9,22.2,7,10,0,10,3,10,6,0,Matches
Łukasz Piszczek,pl POL,DF,Dortmund,33,1985,19.5,57,36,34,15,8,18,33,54.5,15,26,3,23,39,96,69,0,Matches
Claudio Pizarro,pe PER,FW,Werder Bremen,39,1978,7.7,10,6,4,2,4,4,7,57.1,3,14,1,13,1,11,7,0,Matches
Marvin Plattenhardt,de GER,DF,Hertha BSC,26,1992,21.4,27,21,12,10,5,14,21,66.7,7,18,3,15,7,34,56,0,Matches
Alassane Pléa,fr FRA,FW,M'Gladbach,25,1993,27.8,14,10,7,4,3,5,22,22.7,17,17,2,15,3,17,15,2,Matches
Luca Plogmann,de GER,GK,Werder Bremen,18,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Stefan Posch,at AUT,DF,Hoffenheim,21,1997,15.6,45,32,28,15,2,17,28,60.7,11,26,11,15,21,66,58,0,Matches
Yussuf Poulsen,dk DEN,FW,RB Leipzig,24,1994,27.2,20,10,5,10,5,3,25,12.0,22,33,2,31,7,27,28,0,Matches
Edgar Prib,de GER,MF,Hannover 96,28,1989,2.2,10,9,3,5,2,2,4,50.0,2,4,0,4,2,12,1,0,Matches
Christian Pulisic,us USA,FW,Dortmund,19,1998,10.4,10,6,2,6,2,2,6,33.3,4,12,2,10,6,16,10,0,Matches
Robin Quaison,se SWE,"FW,MF",Mainz 05,24,1993,24.4,19,12,3,10,6,5,12,41.7,7,9,1,8,7,26,4,0,Matches
Raffael,br BRA,FW,M'Gladbach,33,1985,6.0,8,4,2,4,2,2,7,28.6,5,5,0,5,1,9,0,0,Matches
Rafinha,br BRA,DF,Bayern Munich,32,1985,10.0,15,7,6,6,3,6,14,42.9,8,8,3,5,19,34,11,0,Matches
Baba Rahman,gh GHA,DF,Schalke 04,24,1994,1.8,3,1,1,1,1,1,1,100.0,0,3,0,3,2,5,2,0,Matches
Benito Raman,be BEL,"MF,FW",Düsseldorf,23,1994,18.7,35,20,14,16,5,11,53,20.8,42,30,2,28,15,50,8,0,Matches
Milot Rashica,xk KVX,"FW,MF",Werder Bremen,22,1996,17.2,24,16,8,11,5,9,24,37.5,15,16,2,14,6,30,6,1,Matches
Yoric Ravet,fr FRA,"FW,MF",Freiburg,28,1989,0.8,2,1,1,0,1,1,2,50.0,1,2,1,1,0,2,1,0,Matches
Ante Rebić,hr CRO,"FW,MF",Eint Frankfurt,24,1993,22.0,22,9,5,12,5,5,12,41.7,7,18,1,17,8,30,3,0,Matches
Karim Rekik,nl NED,DF,Hertha BSC,23,1994,23.0,36,22,23,12,1,12,18,66.7,6,24,16,8,34,70,88,0,Matches
Michael Rensing,de GER,GK,Düsseldorf,34,1984,32.0,2,1,2,0,0,1,5,20.0,4,1,0,1,2,4,13,2,Matches
Marco Reus,de GER,"MF,FW",Dortmund,29,1989,25.7,33,22,11,16,6,6,31,19.4,25,28,1,27,8,41,32,0,Matches
