player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Jonathan Tah,de GER,DF,Leverkusen,23,1996,23.2,2321,164,1012,1260,55,10,2321,16,14,87.5,2,12.5,1439,7412,4116,14,6,1,8,4,1681,2,Matches
Edmond Tapsoba,bf BFA,DF,Leverkusen,20,1999,11.8,1229,88,596,623,20,5,1229,10,6,60.0,4,40.0,792,3969,2278,4,3,0,6,0,911,0,Matches
Georg Teigl,at AUT,"DF,MF",Augsburg,28,1991,1.2,43,4,15,25,4,1,43,2,2,100.0,0,0.0,25,120,71,1,1,0,4,1,24,1,Matches
Bernard Tekpetey,gh GHA,"FW,MF",Düsseldorf,21,1997,5.0,188,0,13,71,108,13,188,25,9,36.0,16,64.0,122,934,470,21,11,5,20,10,128,35,Matches
Lino Tempelmann,de GER,MF,Freiburg,20,1999,0.4,14,2,4,7,3,0,14,1,1,100.0,0,0.0,6,54,43,1,1,0,1,0,9,0,Matches
Simon Terodde,de GER,FW,Köln,31,1988,9.0,289,19,40,118,133,58,289,5,3,60.0,2,40.0,99,444,164,9,3,1,12,6,162,45,Matches
Malick Thiaw,de GER,DF,Schalke 04,17,2001,0.8,50,7,30,19,1,0,50,0,0,,0,,30,142,74,2,1,0,0,0,31,0,Matches
Niclas Thiede,de GER,GK,Freiburg,20,1999,0.8,43,35,42,1,0,0,43,0,0,,0,,29,163,113,0,0,0,0,0,19,0,Matches
Jan Thielmann,de GER,"FW,MF",Köln,17,2002,6.2,246,4,46,106,97,5,246,7,1,14.3,6,85.7,143,660,203,9,6,0,20,9,140,37,Matches
Erik Thommy,de GER,"MF,FW",Düsseldorf,24,1994,25.1,1174,22,178,453,567,60,1174,67,45,67.2,22,32.8,665,5050,2745,108,65,26,43,44,760,177,Matches
Marcus Thuram,fr FRA,FW,M'Gladbach,21,1997,24.5,1007,20,109,409,514,140,1007,107,63,58.9,44,41.1,676,4839,2356,96,63,49,80,41,763,217,Matches
Marcel Tisserand,cd COD,DF,Wolfsburg,26,1993,13.4,912,75,429,433,57,16,912,16,9,56.3,7,43.8,509,2813,1476,19,7,1,10,4,511,0,Matches
Jean-Clair Todibo,fr FRA,DF,Schalke 04,19,1999,4.1,339,41,178,153,10,4,339,14,11,78.6,3,21.4,209,1371,855,6,2,0,4,2,210,2,Matches
Corentin Tolisso,fr FRA,MF,Bayern Munich,24,1994,7.1,630,11,94,386,153,26,630,11,7,63.6,4,36.4,405,1831,841,13,11,2,8,13,500,41,Matches
Ömer Toprak,tr TUR,DF,Werder Bremen,30,1989,7.9,565,67,243,296,31,7,565,7,6,85.7,1,14.3,389,1862,844,8,6,2,7,8,374,5,Matches
Lucas Torró,es ESP,MF,Eint Frankfurt,25,1994,3.7,224,10,56,136,35,8,224,4,2,50.0,2,50.0,82,404,223,4,2,0,6,0,105,4,Matches
