player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Niclas Füllkrug,de GER,FW,Dortmund,30-236,1993,2.2,36,54,66.7,487,50,20,29,69.0,9,10,90.0,3,5,60.0,1,0.3,0.1,+0.7,2,1,2,0,3,Matches
Cristian Gamboa,cr CRC,"DF,MF",Bochum,33-344,1989,1.1,36,54,66.7,718,291,15,17,88.2,13,19,68.4,7,17,41.2,0,0.1,0.2,-0.1,2,9,3,1,7,Matches
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-204,1994,3.8,89,117,76.1,1395,304,42,52,80.8,38,45,84.4,5,8,62.5,0,0.0,0.5,0.0,0,4,1,1,3,Matches
Anwar El Ghazi,nl NED,"DF,FW",Mainz 05,28-153,1995,0.4,12,16,75.0,164,29,8,10,80.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
Matthias Ginter,de GER,DF,Freiburg,29-257,1994,6.0,249,313,79.6,4595,1645,97,109,89.0,134,161,83.2,18,39,46.2,0,0.0,0.1,0.0,1,17,1,0,26,Matches
Klaus Gjasula,al ALB,DF,Darmstadt 98,33-293,1989,3.0,98,126,77.8,1858,815,39,44,88.6,48,57,84.2,10,23,43.5,0,0.0,0.2,0.0,1,5,0,0,5,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-081,1995,1.8,65,75,86.7,892,152,42,44,95.5,16,19,84.2,3,4,75.0,0,0.5,0.7,-0.5,5,2,2,0,6,Matches
Leon Goretzka,de GER,MF,Bayern Munich,28-239,1995,4.4,244,276,88.4,3894,921,123,134,91.8,100,107,93.5,14,21,66.7,0,0.1,0.4,-0.1,2,30,5,0,25,Matches
Robin Gosens,de GER,"DF,MF",Union Berlin,29-090,1994,4.8,163,218,74.8,2908,1090,73,88,83.0,70,89,78.7,19,32,59.4,0,0.2,0.5,-0.2,3,20,5,4,19,Matches
Mario Götze,de GER,"MF,FW",Eint Frankfurt,31-122,1992,4.7,179,238,75.2,3019,898,90,105,85.7,66,85,77.6,18,29,62.1,0,0.7,0.6,-0.7,11,21,9,1,26,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-085,1991,2.5,124,155,80.0,2594,957,34,34,100.0,69,78,88.5,19,38,50.0,0,0.0,0.0,0.0,0,6,1,0,7,Matches
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-140,2002,0.1,5,7,71.4,83,25,2,2,100.0,3,3,100.0,0,0,,0,0.2,0.1,-0.2,2,0,0,0,1,Matches
Michael Gregoritsch,at AUT,FW,Freiburg,29-168,1994,2.0,26,47,55.3,376,74,15,26,57.7,8,14,57.1,1,3,33.3,0,0.2,0.1,-0.2,3,0,2,0,4,Matches
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-179,1993,5.1,179,263,68.1,3183,1140,91,117,77.8,56,75,74.7,25,55,45.5,3,1.5,1.1,+1.5,17,18,6,3,22,Matches
Florian Grillitsch,at AUT,MF,Hoffenheim,28-057,1995,4.6,199,235,84.7,3754,1352,75,85,88.2,102,116,87.9,19,26,73.1,0,0.1,0.3,-0.1,2,25,5,0,28,Matches
Álex Grimaldo,es ESP,DF,Leverkusen,28-013,1995,5.9,297,357,83.2,4145,1138,199,210,94.8,82,101,81.2,11,26,42.3,2,0.8,0.6,+1.2,8,19,8,1,23,Matches
Christian Groß,de GER,"MF,DF",Werder Bremen,34-237,1989,3.9,151,181,83.4,2693,952,52,63,82.5,92,104,88.5,5,8,62.5,0,0.1,0.1,-0.1,3,13,0,0,17,Matches
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-125,2004,2.4,60,95,63.2,871,270,33,41,80.5,17,31,54.8,6,14,42.9,0,0.2,0.6,-0.2,5,7,6,1,11,Matches
Ilia Gruev,bg BUL,MF,Werder Bremen,23-150,2000,0.0,1,1,100.0,13,14,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Raphaël Guerreiro,pt POR,MF,Bayern Munich,29-285,1993,0.5,13,21,61.9,124,29,10,12,83.3,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Serhou Guirassy,gn GUI,FW,Stuttgart,27-205,1996,5.8,134,172,77.9,1597,236,84,95,88.4,35,45,77.8,1,2,50.0,1,2.0,1.2,-1.0,15,8,3,0,10,Matches
Manuel Gulde,de GER,DF,Freiburg,32-233,1991,1.1,57,64,89.1,1026,333,18,20,90.0,35,36,97.2,2,6,33.3,0,0.0,0.0,0.0,0,4,0,0,2,Matches
Robert Gumny,pl POL,DF,Augsburg,25-121,1998,0.2,7,11,63.6,149,98,3,3,100.0,2,4,50.0,2,2,100.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches
Christian Günter,de GER,DF,Freiburg,30-217,1993,1.0,34,42,81.0,559,162,16,17,94.1,15,18,83.3,3,5,60.0,0,0.6,0.4,-0.6,2,1,2,1,3,Matches
Janik Haberer,de GER,MF,Union Berlin,29-184,1994,2.0,53,69,76.8,892,109,23,30,76.7,23,29,79.3,4,5,80.0,0,0.1,0.3,-0.1,3,2,1,1,4,Matches
Robin Hack,de GER,MF,M'Gladbach,25-037,1998,0.9,39,47,83.0,571,147,25,26,96.2,11,12,91.7,3,5,60.0,0,0.0,0.1,0.0,0,5,2,1,2,Matches
Sébastien Haller,ci CIV,FW,Dortmund,29-103,1994,3.3,50,83,60.2,685,155,33,50,66.0,13,21,61.9,1,1,100.0,0,0.5,0.8,-0.5,3,5,0,0,7,Matches
