player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Nicolas Cozza,fr FRA,DF,Wolfsburg,24-352,1999,5,2,213,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,14,7,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,Matches
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-135,2000,13,6,641,7.1,4,1,5,3,1,2,3,0,4.6,3.0,0.7,3.7,8,10,28,0.56,0.14,0.70,0.42,0.56,0.64,0.09,0.74,0.42,0.51,Matches
Finn Dahmen,de GER,GK,Augsburg,25-274,1998,16,16,"1,440",16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lukas Daschner,de GER,"MF,FW",Bochum,25-086,1998,10,2,302,3.4,1,1,2,1,0,0,2,0,2.2,2.2,0.8,3.0,4,10,19,0.30,0.30,0.60,0.30,0.60,0.64,0.24,0.88,0.64,0.88,Matches
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,21-004,2002,12,8,682,7.6,1,0,1,1,0,0,0,0,2.8,2.8,0.3,3.1,20,14,66,0.13,0.00,0.13,0.13,0.13,0.37,0.05,0.41,0.37,0.41,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,23-054,2000,14,13,"1,088",12.1,0,3,3,0,0,0,0,0,0.3,0.3,1.5,1.8,65,62,73,0.00,0.25,0.25,0.00,0.25,0.02,0.12,0.15,0.02,0.15,Matches
Olivier Deman,be BEL,DF,Werder Bremen,23-264,2000,12,9,828,9.2,1,1,2,1,0,0,3,0,0.6,0.6,0.5,1.1,11,27,34,0.11,0.11,0.22,0.11,0.22,0.06,0.06,0.12,0.06,0.12,Matches
Ermedin Demirović,ba BIH,"MF,FW",Augsburg,25-276,1998,16,16,"1,383",15.4,8,5,13,7,1,2,4,0,7.3,5.7,2.0,7.7,14,26,61,0.52,0.33,0.85,0.46,0.78,0.48,0.13,0.60,0.37,0.50,Matches
Sepp van den Berg,nl NED,DF,Mainz 05,22-006,2001,15,13,"1,219",13.5,1,0,1,1,0,0,5,0,0.7,0.7,0.0,0.7,5,57,5,0.07,0.00,0.07,0.07,0.07,0.05,0.00,0.05,0.05,0.05,Matches
Florian Dietz,de GER,FW,Köln,25-145,1998,2,0,44,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,6,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,23-035,2000,15,11,954,10.6,3,1,4,3,0,0,1,0,2.5,2.5,1.6,4.1,33,45,57,0.28,0.09,0.38,0.28,0.38,0.24,0.15,0.39,0.24,0.39,Matches
Eren Dinkçi,de GER,"FW,MF",Heidenheim,22-013,2001,15,15,"1,202",13.4,6,0,6,6,0,0,6,0,1.7,1.7,1.3,3.0,41,45,60,0.45,0.00,0.45,0.45,0.45,0.13,0.10,0.23,0.13,0.23,Matches
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-193,1998,16,13,"1,060",11.8,1,0,1,1,0,0,0,0,1.7,1.7,0.9,2.6,25,29,72,0.08,0.00,0.08,0.08,0.08,0.14,0.08,0.22,0.14,0.22,Matches
Danilho Doekhi,nl NED,DF,Union Berlin,25-179,1998,8,8,720,8.0,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,31,5,0.12,0.00,0.12,0.12,0.12,0.03,0.01,0.04,0.03,0.04,Matches
Niklas Dorsch,de GER,MF,Augsburg,25-345,1998,14,13,"1,051",11.7,0,0,0,0,0,0,4,0,0.6,0.6,0.0,0.6,7,36,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Nikola Dovedan,at AUT,"MF,FW",Heidenheim,29-173,1994,9,1,239,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,10,10,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
Damion Downs,de GER,"FW,MF",Köln,19-173,2004,3,0,24,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59,Matches
Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,21-300,2002,13,3,391,4.3,2,0,2,2,0,0,2,0,1.3,1.3,0.3,1.5,13,10,21,0.46,0.00,0.46,0.46,0.46,0.29,0.06,0.35,0.29,0.35,Matches
Marvin Ducksch,de GER,FW,Werder Bremen,29-294,1994,16,15,"1,268",14.1,7,4,11,5,2,3,4,0,5.5,3.0,3.6,6.6,7,44,71,0.50,0.28,0.78,0.35,0.64,0.39,0.26,0.65,0.21,0.47,Matches
Maximilian Eggestein,de GER,MF,Freiburg,27-018,1996,16,16,"1,391",15.5,0,0,0,0,0,0,3,0,1.3,1.3,0.9,2.2,20,83,27,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,Matches
Lilian Egloff,de GER,"MF,DF",Stuttgart,21-128,2002,5,1,106,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,2,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,27-087,1996,14,12,"1,069",11.9,1,1,2,1,0,0,3,0,0.4,0.4,0.1,0.5,15,47,2,0.08,0.08,0.17,0.08,0.17,0.04,0.01,0.05,0.04,0.05,Matches
Arne Engels,be BEL,"MF,DF",Augsburg,20-109,2003,14,7,686,7.6,1,0,1,1,0,0,0,1,1.0,1.0,0.7,1.8,12,17,25,0.13,0.00,0.13,0.13,0.13,0.14,0.10,0.23,0.14,0.23,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-108,1997,15,15,"1,301",14.5,1,0,1,1,0,0,4,1,0.6,0.6,0.3,1.0,12,43,3,0.07,0.00,0.07,0.07,0.07,0.04,0.02,0.07,0.04,0.07,Matches
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-255,1996,11,10,877,9.7,0,2,2,0,0,0,3,0,0.5,0.5,0.7,1.1,8,39,8,0.00,0.21,0.21,0.00,0.21,0.05,0.07,0.12,0.05,0.12,Matches
Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,19-082,2004,4,0,53,0.6,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,2,5,1.70,0.00,1.70,1.70,1.70,1.21,0.00,1.21,1.21,1.21,Matches
Max Finkgräfe,de GER,"DF,MF",Köln,19-274,2004,7,2,277,3.1,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,11,5,14,0.00,0.00,0.00,0.00,0.00,0.22,0.08,0.31,0.22,0.31,Matches
