,ID,Name,Team,Position,Marktwert,Trend,Bild,Status,Punkteschnitt,Punktetotal,UserID,TeamID,TeamCover
121,2643,Edimilson Fernandes,Mainz 05,2,9328902.0,1,https://kickbase.b-cdn.net/pool/playersbig/2643.png,0,82,898,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
122,7239,Max Finkgräfe,Köln,2,4189080.0,1,https://kickbase.b-cdn.net/pool/playersbig/7239.png,0,13,93,None,28,None
123,3362,Kilian Fischer,Wolfsburg,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/3362.png,0,0,0,None,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
124,6318,David Datro Fofana,Union,4,6450240.0,1,https://kickbase.b-cdn.net/pool/playersbig/6318.png,2,32,386,None,40,None
125,668,Raphael Framberger,Augsburg,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/668.png,1,0,0,None,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
126,1871,Jonas Föhrenbach,Heidenheim,2,5505767.0,1,https://kickbase.b-cdn.net/pool/playersbig/1871.png,0,46,685,None,50,None
127,2526,Philipp Förster,Bochum,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2526.png,0,19,132,None,24,None
128,3476,Bartol Franjic,Darmstadt,3,1059581.0,1,https://kickbase.b-cdn.net/pool/playersbig/3476.png,0,28,282,None,42,None
129,2944,Timothy Evans Fosu-Mensah,Bayer 04,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2944.png,0,0,0,1948818,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
130,1223,Marvin Friedrich,M-Gladbach,2,3113999.0,1,https://kickbase.b-cdn.net/pool/playersbig/1223.png,0,44,435,None,15,https://kickbase.b-cdn.net/team/2013/07/30/d91892b110704f76a6d787c5078f3030.jpg
